"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.PRM.SSUP.1","(De Jure) Are principals required to have training on how to manage a school?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP.10","(De Facto) Percent of principals that report having used the skills they gained at the last training they attended",96.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SSUP.11","(De Facto) Average number of trainings that principals report having been offered to them in the past year",1.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.2","(De Jure) Are principals required to have management training for new principals?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP.3","(De Jure) Are principals required to have in-service training?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP.4","(De Jure) Are principals required to have mentoring/coaching by experienced principals?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP.5","(De Jure) How many times per year do principals have trainings?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP.6","(De Facto) Percent of principals that report ever having received formal training",28.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.7","(De Facto) Percent of principals that report having received management training for new principals",62.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.8","(De Facto) Percent of principals that report having received in-service training",68.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.9","(De Facto) Percent of principals that report having received mentoring/coaching by experienced principals",6.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.DF","(De Facto) Policy Lever (School Management) - Support",2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSUP.DJ","(De Jure) Policy Lever (School Management) - Support",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TATT","Policy Lever (Teaching) - Attraction",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.TATT.1","(De Jure) Average starting public-school teacher salary as percent of GDP per capita",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TATT.2","(De Facto) Percent of teachers reporting being satisfied or very satisfied with their social status in the community",84.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TATT.3","(De Facto) Percent of teachers reporting being satisfied or very satisfied with their job as teacher",88.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.TATT.4","(De Facto) Percent of teachers reporting having received financial bonuses in addition to their salaries",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TATT.5","(De Facto) Percent of teachers reporting that there are incentives (financial or otherwise) for teachers to teach certain subjects/grades and/or in certain areas",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TATT.6","(De Facto) Percent of teachers that performance matters for promotions",31.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TATT.7","(De Jure) Is there a well-established career path for teachers?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TATT.8","(De Facto) Percent of teachers that report salary delays in the past 12 months",24.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TATT.DF","(De Facto) Policy Lever (Teaching) - Attraction",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.TATT.DJ","(De Jure) Policy Lever (Teaching) - Attraction",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TENR","Net Adjusted Enrollment Rate",34.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TENR.1","(De Facto) Percent of primary school age children who are enrolled at primary education",34.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL","Policy Lever (Teaching) - Evaluation",2.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL.1","(De Jure) Legislation assigns responsibility of evaluating the performance of teachers to a public authority (national, regional, local)",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TEVL.2","(De Jure) Legislation assigns responsibility of evaluating the performance of teachers to the schools",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TEVL.3","(De Facto) Percent of teachers that report being evaluated in the past 12 months",34.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL.4","(De Jure) The criteria to evaluate teachers is clear",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TEVL.5","(De Facto) Number of criteria used to evaluate teachers",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TEVL.6","(De Facto) Percent of teachers that report there would be consequences after two negative evaluations",67.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL.7","(De Facto) Percent of teachers that report there would be consequences after two positive evaluations",56.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL.8","(De Jure) There are clear consequences for teachers who receive two or more negative evaluations",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TEVL.9","(De Jure) There are clear consequences for teachers who receive two or more positive evaluations",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TEVL.DF","(De Facto) Policy Lever (Teaching) - Evaluation",2.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TEVL.DJ","(De Jure) Policy Lever (Teaching) - Evaluation",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TINM","Policy Lever (Teaching) - Intrinsic Motivation",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TINM.1","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if the assigned curriculum has been completed""",2.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.10","(De Facto) Percent of teachers that agree or strongly agrees with ""Students can change even their basic intelligence level considerably""",92.6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TINM.11","(De Facto) Percent of teachers who state that intrinsic motivation was the main reason to become teachers",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.12","(De Facto) New teachers are required to undergo a probationary period",0.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.13","(De Jure) New teachers are required to undergo a probationary period",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TINM.2","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if students are left with work to do""",7.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.3","(De Facto) Percent of teachers that agree or strongly agrees with ""It is acceptable for a teacher to be absent if the teacher is doing something useful for the community""",15.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.4","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they attend school regularly""",22.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.5","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they come to school with materials""",21.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.6","(De Facto) Percent of teachers that agree or strongly agrees with ""Students deserve more attention if they are motivated to learn""",22.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.7","(De Facto) Percent of teachers that agree or strongly agrees with ""Students have a certain amount of intelligence and they really can’t do much to change it""",36.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.8","(De Facto) Percent of teachers that agree or strongly agrees with ""To be honest, students can’t really change how intelligent they are""",48.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.9","(De Facto) Percent of teachers that agree or strongly agrees with ""Students can always substantially change how intelligent they are""",84.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TINM.DF","(De Facto) Policy Lever (Teaching) - Intrinsic Motivation",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TINM.DJ","(De Jure) Policy Lever (Teaching) - Intrinsic Motivation",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TMNA","Policy Lever (Teaching) - Monitoring & Accountability",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TMNA.1","(De Jure) Information on teacher presence/absenteeism is being collected on a regular basis",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TMNA.2","(De Jure) Teachers receive monetary compensation for being present",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TMNA.3","(De Facto) Teacher report receiving monetary compensation (aside from salary) for being present",0.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TMNA.4","(De Facto) Percent of teachers that report having been absent because of administrative processes",30.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TMNA.5","(De Facto) Percent of teachers that report that there would be consequences for being absent 40% of the time",67.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TMNA.DF","(De Facto) Policy Lever (Teaching) - Monitoring & Accountability",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TMNA.DJ","(De Jure) Policy Lever (Teaching) - Monitoring & Accountability",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP","Policy Lever (Teaching) - Selection & Deployment",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.TSDP.1","(De Jure) Requirements to enter into initial education programs",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP.2","(De Facto) Average quality of applicants accepted into initial education programs",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP.3","(De Jure) Requirements to become a primary school teacher",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP.4","(De Facto) Requirements to become a primary school teacher",4.8,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TSDP.5","(De Jure) Requirements to fulfill a transfer request",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP.6","(De Facto) Requirements to fulfill a transfer request",2.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSDP.7","(De Jure) Selectivity of teacher hiring process",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSDP.DF","(De Facto) Policy Lever (Teaching) - Selection & Deployment",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.TSDP.DJ","(De Jure) Policy Lever (Teaching) - Selection & Deployment",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSUP","Policy Lever (Teaching) - Support",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.1","(De Jure) Practicum required as part of pre-service training",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSUP.2","(De Facto) Percent reporting they completed a practicum as part of pre-service training",5.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.3","(De Facto) Percent of teachers reporting that they participated in an induction and/or mentorship program",36.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.4","(De Jure) Participation in professional development has professional implications for teachers",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.TSUP.5","(De Facto) Percent of teachers reporting having attended in-service trainings in the past 12 months",57.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.6","(De Facto) Average length of the trainings attended",6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.TSUP.7","(De Facto) Average span of time (in weeks) of those trainings",1.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.8","(De Facto) Average percent of time spent inside the classrooms during the trainings",1.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.9","(De Facto) Percent of teachers that report having opportunities to come together with other teachers to discuss ways of improving teaching",76.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.DF","(De Facto) Policy Lever (Teaching) - Support",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.TSUP.DJ","(De Jure) Policy Lever (Teaching) - Support",NA,"N/A",2022,"cty","PAK-KP"
